OCC_TITLE,OCC_TITLE_URL,MEDIAN_PAY_YEAR,MEDIAN_PAY_HOUR,JOB_OUTLOOK,EDUCATION,EXPERIENCE,TRAINING,JOBS_2023,EMPLOYMENT_CHANGE,DUTIES,EDUCATION_DETAILS,QUALITIES,CERTIFICATIONS
Graphic Designers,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,"$58,910 per year",$28.32 per hour,2% (Slower than average),Bachelor's degree,None,None,"267,200","6,600","Meet with clients or the art director to determine the scope of a project, Use digital illustration, photo editing software, and layout software to create designs, Create visual elements such as logos, original images, and illustrations to help deliver a message, Design layouts, including selection of colors, images, and typefaces, Present design concepts to clients or art directors, Incorporate changes recommended by clients or art directors into final designs, Review designs for errors before printing or publishing them","Graphic designers usually need a bachelor’s degree in graphic design or a related field. Candidates for graphic design positions should have a portfolio that demonstrates their creativity and originality. Graphic designers typically need a bachelor's degree in graphic design or a related fine arts field. People who have a bachelor’s degree in another field may complete technical training in graphic design to meet most hiring qualifications. The National Association of Schools of Art and Design accredits more than 360 postsecondary colleges, universities, and independent institutes with programs in art and design. Most programs include courses in studio art, principles of design, computerized design, commercial graphics production, printing techniques, and website design. In addition, students should consider courses in writing, marketing, and business, all of which are useful in helping designers work effectively on project teams. High school students interested in graphic design should take basic art and design courses, if available. Many bachelor’s degree programs require students to complete a year of basic art and design courses before being admitted to a formal degree program. Some schools require applicants to submit sketches and other examples of their artistic ability. Many programs provide students with the opportunity to build a portfolio—a collection of completed works that demonstrates an artist’s styles and abilities. For many artists, including graphic designers, developing a portfolio is essential because employers rely on portfolios in making hiring decisions. Graphic designers must keep up with new and updated computer graphics and design software, either on their own or through formal software training programs. Professional associations that specialize in graphic design, such as AIGA, offer courses intended to keep the skills of their members up to date. Graphic designers often gain experience through internships, which they may undertake while enrolled in a design program. Internships allow aspiring graphic designers to work with designers and to experience the design process from concept to completion. Certification programs are generally available through software product vendors. Certification in graphic design software demonstrates competence and may provide jobseekers with a competitive advantage. Experienced graphic designers may advance to chief designer, art director, or other supervisory positions. Analytical skills. Graphic designers must be able to perceive their work from their consumers’ point of view to ensure that the designs convey the client’s message. Artistic ability. Graphic designers must be able to create designs that are artistically interesting and appealing to clients and consumers. They produce rough illustrations of design ideas, either by hand sketching or by using computer programs. Communication skills. Graphic designers must communicate with clients, customers, and other designers to ensure that their designs accurately and effectively convey information. Computer skills. Most graphic designers use specialized graphic design software to prepare their designs. Creativity. Graphic designers must be able to think of new approaches to communicating ideas to consumers. They develop unique designs that convey their client’s message. Time-management skills. Graphic designers often work simultaneously on multiple projects, each with a different deadline.","Analytical skills., Artistic ability., Communication skills., Computer skills., Creativity., Time-management skills.",
Industrial Designers,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"$76,250 per year",$36.66 per hour,3% (As fast as average),Bachelor's degree,None,None,"34,000","1,100","Consult with clients to determine requirements for designs, Research the various ways a particular product might be used, and who will use it, Sketch ideas or create renderings, which are images on paper or on a computer that provide a visual of design ideas, Use computer software to develop virtual models of different designs, Create physical prototypes of their designs, Examine materials and manufacturing requirements to determine production costs, Work with other specialists, such as mechanical engineers and manufacturers, to evaluate whether their design concepts will fill needs at a reasonable cost, Evaluate product safety, appearance, and function to determine if a design is practical, Present designs and demonstrate prototypes to clients for approval","Industrial designers typically need a bachelor's degree to enter the occupation. They also need an electronic portfolio with examples of their design projects. A bachelor’s degree is usually required for entry-level industrial design jobs. Common fields of degree include fine arts, engineering, or architecture. Most industrial design programs include courses in drawing, computer-aided design and drafting (CADD), and three-dimensional modeling, as well as courses in business, industrial materials and processes, and manufacturing methods. The National Association of Schools of Art and Design accredits more than 360 postsecondary colleges, universities, and independent institutes with programs in art and design. Many schools require successful completion of some basic art and design courses before granting entry into a bachelor’s degree program. Applicants also may need to submit sketches and other examples of their artistic ability. Many programs provide students with the opportunity to build a professional portfolio of their designs from classroom projects, internships, or other experiences. Students can use these examples of their work to demonstrate their design skills when applying for jobs and bidding on contracts for work. Analytical skills. Industrial designers use logic or reasoning skills to study consumers and recognize the need for new products. Artistic ability. Industrial designers sketch their initial design ideas, which are used later to create prototypes. As such, designers must be able to express their design through illustration. Computer skills. Industrial designers use computer-aided design software to develop their designs and create prototypes. Creativity. Industrial designers must be innovative in their designs and the ways in which they integrate existing technologies into their new product. Interpersonal skills. Industrial designers must develop cooperative working relationships with clients and colleagues who specialize in related disciplines. Mechanical skills. Industrial designers must understand how products are engineered, at least for the types of products that they design. Problem-solving skills. Industrial designers determine the need, size, and cost of a product; anticipate production issues; develop alternatives; evaluate options; and implement solutions. Experienced designers in large firms may advance to chief designer, design department head, or other supervisory positions. Some designers become teachers in design schools or in colleges and universities. Many teachers continue to consult privately or operate small design studios in addition to teaching. Some experienced designers open their own design firms.","Analytical skills., Artistic ability., Computer skills., Creativity., Interpersonal skills., Mechanical skills., Problem-solving skills.",
Interior Designers,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,"$62,510 per year",$30.05 per hour,4% (As fast as average),Bachelor's degree,None,None,"92,200","3,700","Search for and bid on new projects, Determine the client’s goals and requirements for the project, Consider how the space will be used and how people will move through the space, Sketch preliminary design plans, including electrical and partition layouts, Specify materials and furnishings, such as lighting, furniture, wall finishes, flooring, and plumbing fixtures, Create a timeline for the interior design project and estimate project costs, Place orders for materials and oversee the installation of the design elements, Oversee construction and coordinate with general building contractors to implement the plans and specifications for the project, Visit the site after the project is complete, to ensure that the client is satisfied","Interior designers typically need a bachelor’s degree to enter the occupation. Interior designers entering the occupation typically need a bachelor’s degree in any field, with fine arts subjects being most common. Studies should include courses in interior design, drawing, and computer-aided design (CAD). Programs in interior design are available at the associate’s, bachelor’s, and master’s degree levels. Applicants to these programs may need to submit sketches and other examples of their artistic ability. The National Association of Schools of Art and Design accredits more than 360 postsecondary colleges, universities, and independent institutes that have programs in art and design. The Council for Interior Design Accreditation accredits about 180 professional-level (bachelor’s or master’s degree) interior design programs. Nearly 100 colleges and universities are affiliated with the National Kitchen & Bath Association. These schools offer programs on kitchen and bath design at the certificate, associate’s degree, and bachelor’s degree levels. Licensure requirements vary by state. In some states, only licensed designers may do interior design work. In other states, both licensed and unlicensed designers may do such work; however, only licensed designers may use the title “interior designer.” In still other states, both licensed and unlicensed designers may call themselves interior designers and do interior design work. In states with laws restricting the use of the title ”interior designer,” only candidates who pass their state-approved exam, most commonly the National Council for Interior Design Qualification (NCIDQ) exam, may call themselves registered interior designers. Candidate eligibility for taking the NCIDQ exam includes having at least a bachelor’s degree in interior design and 2 years of full-time work experience. California requires a different exam, administered by the California Council for Interior Design Certification (CCIDC). To take this exam, eligible candidates must have a combination of education and experience. Voluntary certification in an interior design specialty, such as environmental design, allows designers to demonstrate expertise in a particular area of the occupation. Interior designers often specialize to distinguish the type of design work they do and to promote their expertise. Certifications usually are available through professional and trade associations and are independent of the NCIDQ licensing examination. Artistic ability. Interior designers use their sense of style to develop aesthetically pleasing designs. Creativity. Interior designers need to be imaginative in selecting furnishings and fabrics and in creating functional spaces that serve the client’s needs and fit the client’s lifestyle. Detail oriented. Interior designers need to be precise in measuring interior spaces and creating drawings, so that their drawings can be used by workers such as engineers or other designers. Interpersonal skills. Interior designers need to be able to communicate effectively with clients and others. They spend much of their time soliciting new clients and new work and collaborating with other designers, engineers, and general building contractors on ongoing projects. Problem-solving skills. Interior designers must address challenges, such as construction delays or unavailability of certain materials, while keeping the project on time and within budget. Visualization. Interior designers need a strong sense of proportion and visual awareness in order to understand how the pieces of a design will fit together to create the intended environment.","Artistic ability., Creativity., Detail oriented., Interpersonal skills., Problem-solving skills., Visualization.",California Council for Interior Design Certification
Set and Exhibit Designers,https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm,"$59,490 per year",$28.60 per hour,5% (As fast as average),Bachelor's degree,None,None,"29,600","1,500","Evaluate scripts or objects to be exhibited, Collaborate with directors, curators, and others about intended audience in order to determine specific design features, Design sets or exhibit spaces to tell a story based on factors such as narrative, budget, and location, Prepare drawings by hand or using computer aided design (CAD) programs of proposed sets or exhibits, Prepare budgets for all necessary sets or exhibits, Coordinate with the design team and others to create sets or exhibits that include objects, graphics, and media","Set and exhibit designers typically need a bachelor’s degree in theater design, exhibit design, or a related field. Some employers prefer to hire candidates who have a master’s degree. Set and exhibit designers typically have a bachelor’s degree, but their field of degree varies. Common courses of study include theater design and exhibit design, fine and performing arts, interior design, and architecture. Employers sometimes prefer to hire candidates who have a master’s degree or allow a master’s degree to substitute for desired experience. Academic programs may train students to research the history, period, and story of a production. They also provide technical instruction in subjects such as reading architectural plans and using computer-aided design (CAD) programs. Other relevant courses include drawing, painting, model building, and hand drafting. Employers may seek candidates who have work experience in a creative discipline, such as art or design. Students often have an opportunity to build a portfolio—a collection of completed designs that demonstrates artistic style and ability—while they are still in school. Their portfolio may include examples from classroom projects, internships, or other experiences. Computer skills. Set and exhibit designers do much of their creative work on computers with specialty design software, such as CAD programs. Creativity. Set and exhibit designers must be able to interpret scripts and use their artistic abilities to conceive a set or exhibit that will help tell a story. Interpersonal skills. Set and exhibit designers must be able to collaborate effectively with directors, curators, craftspeople, and others involved in developing sets or exhibits. Organizational skills. Set and exhibit designers need to keep track of multiple tasks and deadlines related to the design projects they coordinate. Problem-solving skills. Set and exhibit designers must find ways to carry out an artistic vision for a set or exhibit while ensuring that the finished version can be constructed on time and within budget.","Computer skills., Creativity., Interpersonal skills., Organizational skills., Problem-solving skills.",
Special Effects Artists and Animators,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,"$99,060 per year",$47.63 per hour,4% (As fast as average),Bachelor's degree,None,None,"73,300","3,200","Use computer programs and illustrations to create graphics and animation (images that appear to move), Work with a team of animators and artists to create a movie, game, or visual effect, Research upcoming projects to help create realistic designs or animation, Edit animation and effects on the basis of feedback from directors, other animators, game designers, or clients, Meet with clients, other animators, games designers, directors, and other staff (which may include actors) to review deadlines and development timelines","Special effects artists and animators typically need a bachelor’s degree in computer graphics, art, or a related field to develop both a portfolio of work and the technical skills that many employers prefer. Special effects artists and animators typically need a bachelor’s degree in computer graphics, animation, fine arts, or a related field. Bachelor’s degree programs in computer graphics often include courses in computer science in addition to art. Programs in animation often require classes in drawing, animation, and film. Programs in fine arts may include courses in painting, drawing, and sculpture. Schools also may have specialized degrees in topics such as interactive media or game design. Employers usually prefer to hire candidates who have a good portfolio and strong technical skills, both of which students may develop while earning a degree. Special effects artists and animators who show strong teamwork and time-management skills can advance to supervisory positions, where they are responsible for one aspect of a visual effects team. Some artists might advance to leadership or directorial positions, such as an art director or producer or director. Skills in graphics and animation can be honed through self-study. Special effects artists and animators can develop these skills to enhance their portfolios, which may make it easier to find job opportunities. Artistic talent. Animators and artists should have artistic ability and a good understanding of color, texture, and light. However, they may be able to compensate for artistic shortcomings with better technical skills. Communication skills. Special effects artists and animators need to work as part of a team and respond well to criticism and feedback. Computer skills. Many special effects artists and animators use computer programs or write programming code to do most of their work. Creativity. Artists and animators must be able to think creatively to develop original ideas and make them come to life. Time-management skills. The workdays required by most studio and game design companies can be long, particularly when there are tight deadlines. Artists and animators need to be able to manage their time effectively when a deadline approaches.","Artistic talent., Communication skills., Computer skills., Creativity., Time-management skills.",
Grounds Maintenance Workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,"$37,690 per year",$18.12 per hour,5% (As fast as average),See How to Become One,None,See How to Become One,"1,296,100","65,200","Mow, edge, and fertilize lawns, Weed and mulch landscape beds, Trim hedges, shrubs, and small trees, Remove dead, damaged, or unwanted trees or branches, Plant flowers, trees, shrubs, and other plants, Apply pesticides, herbicides, or other treatments to plants or soil, Water lawns, landscapes, and gardens, Monitor and maintain plant health","Grounds maintenance workers typically do not need a formal educational credential and are trained on the job. States may require licensing for workers who apply pesticides or fertilizers. Entry-level grounds maintenance jobs typically have no formal education requirements, although employers may prefer to hire candidates who have a high school diploma or equivalent. Prospective grounds maintenance workers may benefit from studying topics such as landscape design, horticulture, or arboriculture. Most states require licensing for workers who apply pesticides. Licensing for workers who handle fertilizers varies by state. Obtaining a license usually involves passing a test on the proper use and disposal of insecticides, herbicides, and fungicides. Check with your state’s licensing official for more information. Although professional certification is not required, it demonstrates competency and reliability for prospective clients and employers. For example, the National Association of Landscape Professionals (NALP) and the Professional Grounds Management Society (PGMS) offer credentials in landscaping and grounds maintenance for workers at various experience levels. The Tree Care Industry Association (TCIA) and the International Society of Arboriculture (ISA) offer certifications for tree care workers. Grounds maintenance workers typically need 1 month or less of on-the-job training to learn the skills they need, including how to plant and maintain areas and how to use mowers, trimmers, leaf blowers, small tractors, and other equipment. Pesticide sprayers, handlers, and applicators may need additional training that lasts up to 1 year. Large institutional employers such as golf courses, university campuses, and municipalities may supplement on-the-job training with instruction in horticulture, arboriculture, urban forestry, insect and disease diagnosis, tree climbing, or small-engine repair. Grounds maintenance workers who have other qualifications, such as formal education or several years of related experience, may become crew leaders or advance into other supervisory positions. Some workers use their experience to start their own business, such as a landscaping company. Ability to work at heights. Tree trimmers and pruners and other grounds maintenance workers must be comfortable working high off the ground when cutting tree limbs and branches. Communication skills. Grounds maintenance workers must be able to convey information and instructions to clients, customers, and supervisors. Dexterity. Grounds maintenance workers must have good eye, foot, and hand coordination when using dangerous or heavy equipment such as backhoes, mowers, and tractors. Physical stamina. Grounds maintenance workers must be able to do strenuous labor for long periods of time, occasionally in extreme heat or cold. Physical strength. These workers may need to be able to lift heavy equipment or supplies. Self-motivated. Because they often work with little supervision, grounds maintenance workers must be able to do their tasks independently. Visualization. Grounds maintenance workers must be able to imagine how plants, shrubs, trees, and other landscaping will look before planting or trimming.","Ability to work at heights., Communication skills., Dexterity., , Physical stamina., Physical strength., Self-motivated., Visualization., ",
Janitors and Building Cleaners,https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,"$35,020 per year",$16.84 per hour,3% (As fast as average),No formal educational credential,None,Short-term on-the-job training,"2,431,600","75,800","Gather and empty trash, Sweep, mop, or vacuum building floors, Clean restrooms and stock them with supplies, Clean spills and other hazards with appropriate equipment, Wash windows, walls, and glass, Clean and disinfect surfaces that are touched frequently, Order cleaning supplies, Make minor building repairs, Notify managers when a building needs major repairs, Lock doors to secure buildings","Janitors and building cleaners typically do not need formal education to enter the occupation. However, some employers may require or prefer that workers have a high school diploma or equivalent. Most janitors and building cleaners learn on the job. Janitors and building cleaners typically do not need a formal educational credential to qualify for entry-level jobs. But for some positions, they may need to have a high school diploma or equivalent. Elective high school courses, such as in industrial arts, may be helpful for occupations involving repair. Most janitors and building cleaners learn on the job. Beginners typically work with a more experienced janitor, learning how to use and maintain equipment such as vacuums, floor buffers, and other equipment and tools. They also may learn how to repair minor electrical and plumbing problems. Although not required, certification is available through the Building Service Contractors Association International, the ISSA—The International Sanitary Supply Association, and IEHA, a division of ISSA. Certification demonstrates competence and may make applicants more appealing to employers. Interpersonal skills. Janitors and building cleaners must interact well other cleaners and the people who live or work in the buildings they service. Mechanical skills. Janitors and building cleaners need to understand general building operations and should be able to make routine repairs, such as to leaky faucets. Physical stamina. Janitors and building cleaners spend most of their workday standing to operate cleaning equipment. Physical strength. Janitors and building cleaners often must lift and move heavy cleaning materials and equipment. Time-management skills. Janitors and building cleaners must plan and complete tasks in a timely manner.","Interpersonal skills., Mechanical skills., Physical stamina., Physical strength., Time-management skills.",
Pest Control Workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,"$43,470 per year",$20.90 per hour,7% (Faster than average),High school diploma or equivalent,None,Moderate-term on-the-job training,"98,200","6,900","Inspect buildings and premises for signs of pests or infestation, Determine the type of treatment needed to eliminate pests, Measure the dimensions of the area needing treatment, Estimate the cost of their services, Use baits and set traps to remove, control, or eliminate pests, Apply pesticides in and around buildings and other structures, Design and carry out pest management plans, Drive trucks equipped with power spraying equipment, Create barriers to prevent pests from entering a building, Termite control workers may use chemicals or baiting techniques and modify structures to eliminate termites and prevent future infestations. Some also repair structural damage caused by termites and build barriers to separate pests from their food source., Fumigators use gases, called fumigants, to treat specific kinds of pests or large-scale infestations. Fumigators seal all or part of an infested building before using hoses to fill the structure with fumigants. They post warning signs to keep people from going into the fumigated area and monitor it closely to detect and stop leaks.","Pest control workers typically need a high school diploma and receive on-the-job training. State laws require pest control workers to be licensed. Many pest control companies require that employees have a driver’s license and a good driving record. Pest control workers typically need high school diploma or equivalent to enter the occupation. Employers may consider experienced candidates for some pest control jobs. Most pest control workers begin as technicians, typically receiving on-the-job training. They often study specialties such as rodent control, termite control, and fumigation. Technicians also must complete general training in pesticide use and safety. Pest control training can usually be completed in less than 3 months. After completing training, workers are qualified to provide pest control services. Because pest control methods change, workers often attend continuing education classes. Most states require pest control workers to be licensed. Licensure requirements vary by state, but workers usually must complete training and pass an exam. Some states have additional requirements, such as having a high school diploma or equivalent. States may have additional requirements for applicators. Check with your state regulatory agency for more information. Pest control workers typically advance as they gain experience. For example, applicators who have several years of experience may become supervisors. Some workers start their own pest management business. Bookkeeping skills. Pest control workers must keep accurate records of the hours they work, chemicals they use, and payments they collect. Self-employed workers, in particular, need these skills in order to run their business. Customer-service skills. Pest control workers should be friendly and polite when they interact with customers at their homes or businesses. Detail oriented. Because pest control workers apply potentially toxic chemicals, they must be able to follow instructions precisely to prevent harm to residents, pets, the environment, and themselves. Physical stamina. Pest control workers may spend hours standing, bending, kneeling, or crawling. They also must be able to withstand uncomfortable conditions, such as summer heat in attics and winter cold in crawl spaces.","Bookkeeping skills., Customer-service skills., Detail oriented., Physical stamina.",
Accountants and Auditors,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$79,880 per year",$38.41 per hour,6% (Faster than average),Bachelor's degree,None,None,"1,562,000","91,400","Examine financial statements to ensure that they are accurate and comply with laws and regulations, Compute taxes owed, prepare tax returns, and ensure that taxes are paid properly and on time, Inspect account books and accounting systems for efficiency and use of accepted accounting procedures and identify potential risks for fraud, Organize, analyze, and maintain financial records, Assess financial operations, identify risks and challenges, and make best-practices recommendations to management, Suggest ways to reduce costs, enhance revenues, and improve profits","Accountants and auditors typically need at least a bachelor’s degree in accounting or a related field to enter the occupation. Completing certification in a specific field of accounting, such as becoming a licensed Certified Public Accountant (CPA), may improve job prospects. Accountants and auditors typically need a bachelor's degree in accounting or a related field, such as business. Some employers prefer to hire applicants who have a master’s degree, either in accounting or in business administration with a concentration in accounting. Some universities and colleges offer specialized programs for a bachelor’s or master’s degree, such as in accounting, forensic accounting, internal auditing, or tax accounting. In some cases, those with an associate’s degree, as well as bookkeepers, accounting, and auditing clerks who meet the education and experience requirements set by their employers, may get junior accounting positions and advance by showing their accounting skills on the job. Students may gain practical experience through internships with public accounting or business firms. Any accountant who files a report with the Securities and Exchange Commission (SEC) is required to be a licensed Certified Public Accountant (CPA). Other accountants choose to become a CPA to enhance their job prospects or to gain clients. Employers may pay the costs associated with the CPA exam. CPAs are licensed by their state’s Board of Accountancy. Becoming a CPA requires passing a national exam and meeting other state requirements. All states require CPA candidates to complete 150 semester hours of college coursework to be licensed, which is 30 hours more than the usual 4-year bachelor’s degree. Many schools offer a 5-year combined bachelor’s and master’s degree to meet the 150-hour requirement, but a master’s degree is not required. A few states allow a number of years of public accounting experience to substitute for a college degree. All states use the four-part Uniform CPA Examination from the American Institute of Certified Public Accountants (AICPA). Candidates do not have to pass all four parts at once, but most states require that candidates pass all four parts within 18 months of passing their first part. All states require CPAs to take continuing education courses, including ethics, to maintain their license. Certification provides an advantage in the job market because it shows professional competence in a specialized field of accounting and auditing. Accountants and auditors seek certifications from a variety of professional societies. Some of the most common certifications are listed below: The AICPA offers several designations. For accountants with a CPA, the AICPA offers the Accredited in Business Valuation (ABV), Certified Financial Forensics (CFF), Certified Information Technology Professional (CITP), and Personal Financial Specialist (PFS) certifications. All of these credentials require experience in the related area, continuing education, and passing an exam. AICPA and the Chartered Institute of Management Accountants (CIMA) developed the Chartered Global Management Accountant (CGMA) designation as an internationally recognized professional credential. Candidates must complete a program, pass an exam, and meet a requirement for work experience. The Association of Government Accountants (AGA) offers the Certified Government Financial Manager (CGFM) credential to accountants or auditors working with federal, state, or local government. To earn this certification, candidates must have a bachelor’s degree from an accredited college or university, pass examinations, and have professional-level experience in government financial management. To keep the certification, CGFMs must complete continuing professional education. The Institute of Internal Auditors (IIA) offers the Certified Internal Auditor (CIA) credential to graduates from accredited colleges and universities who have work experience as internal auditors and have passed an exam. The IIA also offers the Certified in Control Self-Assessment (CCSA), Certified Government Auditing Professional (CGAP), Certified Financial Services Auditor (CFSA), and Certification in Risk Management Assurance (CRMA) to those who pass the exams and meet educational and experience requirements. The Institute of Management Accountants (IMA) offers the Certified Management Accountant (CMA) to applicants who complete a bachelor’s degree. Applicants must have work experience in management accounting, pass an exam, agree to meet continuing education requirements, and comply with standards of professional conduct. ISACA offers the Certified Information Systems Auditor (CISA) to candidates who pass an exam and have work experience auditing information systems. Information systems experience, financial or operational auditing experience, or related college credit hours may be substituted for some of the experience required in information systems auditing, control, or security. Some top executives and financial managers have a background in accounting, internal auditing, or finance. Entry-level public accountants may advance to senior positions as they gain experience and take on more responsibility. Those who excel may become supervisors, managers, or partners; open their own public accounting firm; or transfer to executive positions in management accounting or internal auditing in private firms. Management accountants often start as cost accountants, junior internal auditors, or trainees for other accounting positions. As they rise through the organization, they may advance to become accounting managers, budget directors, chief cost accountants, or managers of internal auditing. Some become controllers, treasurers, financial vice presidents, chief financial officers, or corporation presidents. Public accountants, management accountants, and internal auditors may move from one type of accounting and auditing to another. Public accountants often move into management accounting or internal auditing. Management accountants may become internal auditors, and internal auditors may become management accountants. However, it is less common for management accountants or internal auditors to move into public accounting. Analytical and critical-thinking skills. Accountants and auditors must be able to critically evaluate data, identify issues in documentation, and suggest solutions. For example, internal auditors might detect fraudulent use of funds, and public accountants may work to minimize tax liability. Communication skills. Accountants and auditors must be able to listen to and discuss facts and concerns from clients, managers, and other stakeholders. They must also be able to discuss the results of their work both in meetings and in written reports. Detail oriented. Accountants and auditors must pay attention to detail when compiling and examining documents. Math skills. Accountants and auditors must be able to analyze, compare, and interpret facts and figures. They may use advanced math skills, such as calculus and statistical analysis, for these tasks. Organizational skills. Strong organizational skills are important for accountants and auditors, who often work with a range of financial documents for a variety of clients.","Analytical and critical-thinking skills., Communication skills., Detail oriented., Math skills., Organizational skills.",
Budget Analysts,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,"$84,940 per year",$40.84 per hour,4% (As fast as average),Bachelor's degree,None,None,"50,800","2,000","Work with program and project managers to develop the organization’s budget, Review managers’ budget proposals and funding requests for completeness, accuracy, and compliance with laws and other regulations, Combine program and department budgets into a consolidated organizational budget, Explain funding requests to others in the organization, to legislators, and to the public, Help top managers analyze proposed plans and find alternatives if the projected results are unsatisfactory, Monitor organizational spending to ensure that it is within budget, Inform program managers of the status and availability of funds, Estimate future financial needs","Budget analysts typically need a bachelor's degree to enter the occupation. Some employers prefer to hire applicants who have a master's degree. Courses in accounting, economics, and statistics are helpful. Budget analysts typically need at least a bachelor's degree in fields such as business, social science, psychology, or mathematics. Because developing a budget requires numeracy and analytical skills, coursework in accounting, economics, and statistics is helpful. Sometimes, budget- or finance-related work experience may be substituted for formal education. Budget analysts working in federal, state or local government may earn the optional Certified Government Financial Manager (CGFM) credential from the Association of Government Accountants (AGA). CGFM candidates must have at least a bachelor’s degree, abide by the AGA’s Code of Ethics, pass examinations, and complete a designated period of professional-level experience in governmental financial management. To maintain certification, CGFMs must complete continuing education. Although the CGFM is not required, having a designation may help with career advancement. Analytical skills. Budget analysts must be able to process a variety of information, evaluate costs and benefits, and solve complex problems. Communication skills. Budget analysts must be able to explain and defend their analyses and recommendations in meetings and legislative committee hearings. Detail oriented. Creating an efficient budget requires careful analysis of each budget item. Math skills. Budget analysts need math skills and the ability to use financial-management software and programs. Writing skills. Budget analysts must present written technical information in a way that is understandable to the intended audience.","Analytical skills., Communication skills., Detail oriented., Math skills., Writing skills.",
"Claims Adjusters, Appraisers, Examiners, and Investigators",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,"$75,020 per year",$36.07 per hour,-5% (Decline),See How to Become One,None,See How to Become One,"355,600","-16,200","Investigate, evaluate, and settle insurance claims, Determine whether the insurance policy covers the loss claimed, Decide the appropriate amount the insurance company should pay, Ensure that claims are not fraudulent, Contact claimants’ doctors or employers to get additional information on questionable claims, Talk with legal counsel about claims when needed, Negotiate settlements, Authorize payments","A high school diploma or equivalent is typically required for a person to work as an entry-level claims adjuster, examiner, or investigator, although some positions require a bachelor’s degree or insurance-related work experience. Auto damage appraisers typically have either a postsecondary nondegree award or work experience in identifying and estimating the cost of automotive repair. A high school diploma or equivalent is typically required for a person to work as an entry-level claims adjuster or examiner. However, employers sometimes prefer to hire applicants who have a bachelor’s degree or some insurance-related work experience. For investigator jobs, a high school diploma or equivalent is the typical education requirement. Some insurance companies prefer to hire people trained as law enforcement officers or private investigators, because these workers have good interviewing and interrogation skills. Auto damage appraisers typically have either a postsecondary nondegree award or experience working in an auto repair shop, identifying and estimating the cost of automotive repair. Many vocational schools and some community colleges offer programs in autobody repair that teach students how to estimate the cost of repairing damaged vehicles. Entry-level claims adjusters, examiners, and investigators work on small claims under the supervision of an experienced worker. As they learn more about claims investigation and settlement, they are assigned larger, more complex claims. Auto damage appraisers typically get on-the-job training, which may last several months. This training usually involves working under the supervision of an experienced appraiser while estimating damage costs, until the employer decides that the trainee is ready to do estimates on their own. Licensing requirements for claims adjusters, appraisers, examiners, and investigators vary by state. Some states have few requirements; others require either completing prelicensing education or receiving a satisfactory score on a licensing exam (or both). Jobseekers should verify the licensing laws with the state and locality in which they want to work. In some states, claims adjusters employed by insurance companies do not have to become licensed themselves because they can work under the company license. Public adjusters may need to meet separate or additional requirements. Some states that require licensing also require a certain number of continuing education credits per year to renew the license. Federal and state laws and the outcomes of claim disputes adjudicated in court affect how the claims must be handled and what insurance policies can and must cover. Examiners working on life and health claims must stay up to date on new medical procedures and prescription drugs. Examiners working on auto claims must be familiar with the most recent car models and repair techniques. To fulfill their continuing education requirements, workers can attend classes or workshops, write articles for claims publications, or give lectures and presentations. The National Insurance Producer Registry (NIPR) provides information about state licensing requirements. Analytical skills. Adjusters and examiners must each evaluate whether the insurance company is obligated to pay a claim and determine the amount to pay. Adjusters must consider various pieces of information to reach a decision. Communication skills. Claims adjusters and investigators must get information from a range of people, including claimants, witnesses, and medical experts. They must know the right questions to ask in order to gather the information they need. Detail oriented. Adjusters, appraisers, examiners, and investigators must carefully review documents and damaged property, because small details can have large financial consequences. Interpersonal skills. Adjusters, examiners, and investigators often meet with claimants and others who may be upset by the situation that requires a claim or by the settlement the company is offering. These workers must be understanding, yet firm regarding their company’s policies.","Analytical skills., Communication skills., Detail oriented., Interpersonal skills.",
